Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2019_Mouse__Chemokine signaling pathway,0.6685357995910658,1.4649034033444688,3.906250e-03,1.000000e+00,7.400000e-01,44/190,12.56%,Gngt1;Cxcl3;Ccr1l1;Cxcr1;Cxcl15;Cxcl9;Ccl22;Ccr7;Ccr4;Ccl5;Xcr1;Ccl17;Ppbp;Cxcl10;Ccr2;Ccr9;Ccl8;Grk1;Itk;Ccr8;Ccr6;Cxcl16;Cxcr3;Cxcl13;Ccl1;Xcl1;Ccl19;Ccl7;Ccl2;Stat1;Ccr3;Ccr1;Ccl11;Ccr5;Rac2;Cxcr4;Hck;Gng2;Pik3r5;Ccl9;Gngt2;Pik3cd;Jak3;Lyn
prerank,KEGG_2019_Mouse__Inflammatory mediator regulation of TRP channels,0.6690890794852001,1.433965186486344,3.937008e-03,1.000000e+00,8.750000e-01,12/126,6.37%,Calm4;Pla2g4f;Pla2g4d;Cyp2c23;Cyp2c65;Trpm8;Ngf;Ntrk1;F2rl1;Pla2g4c;Ptger2;Trpa1
prerank,KEGG_2019_Mouse__Estrogen signaling pathway,0.6599332780911903,1.3897372273738688,1.677149e-02,1.000000e+00,9.700000e-01,7/134,3.62%,Tff1;Calm4;Krt16;Krt26;Krt35;Krt27;Krt42
prerank,KEGG_2019_Mouse__Platelet activation,0.6532754486255445,1.3830405936992105,2.429150e-02,1.000000e+00,9.770000e-01,9/123,5.82%,Gp6;Fga;Pla2g4f;Pla2g4d;Prkg2;Mylk2;Col3a1;Gp1ba;Pla2g4c
prerank,KEGG_2019_Mouse__Systemic lupus erythematosus,0.6451213377364815,1.3792178246324827,1.568627e-02,1.000000e+00,9.810000e-01,61/137,13.13%,Hist1h3h;Hist1h2ah;H2al1b;C6;H2-Eb1;H2-Aa;H2-Ab1;Hist1h2bk;Fcgr4;Hist1h2ab;Hist1h2an;Hist1h3b;Hist1h3c;Hist1h2ap;Hist1h2bh;Hist1h2bm;Hist1h2ai;Hist1h4n;Cd40;Hist1h2ak;Hist1h3f;Hist1h3g;Ifng;Hist1h2ae;H2-DMb2;Hist1h2ao;Hist1h2af;Hist1h3d;Hist1h4b;Hist1h2bj;C3;Cd28;Hist1h2br;Hist1h2ag;Il10;Hist1h2bn;C1qb;H2al1m;Hist1h2ad;C1qa;Hist1h3e;Hist1h3i;Hist1h4a;C1qc;Hist1h4f;Hist1h2bg;Hist1h4m;Hist1h2bb;H2-DMa;H2-DMb1;H2afx;C1ra;Hist1h2bp;Hist1h2bf;Fcgr1;C2;Hist1h2ac;Hist4h4;Hist2h3b;Actn1;Hist1h2bl
prerank,KEGG_2019_Mouse__Cell cycle,0.6502001592389447,1.3613382625087327,4.483431e-02,1.000000e+00,9.950000e-01,50/123,15.85%,Bub1;Ccnb1;Cdc25c;Ttk;Ccne1;Bub1b;Ccna2;Plk1;Ccnb2;Cdk1;Ccna1;Orc1;Cdc6;Chek1;Cdc20;Dbf4;Mcm5;Cdkn2a;Cdc45;E2f1;Mad2l1;Cdkn2c;Wee1;Cdk6;Mcm2;Ccnd1;Mcm6;Skp2;Mcm3;Mcm7;Trp53;Cdc25a;Ccnd2;Rbl1;Cdc7;Pkmyt1;Tgfb1;Myc;E2f2;Cdc25b;Tgfb3;E2f4;Fzr1;Cdkn1a;Cdk4;Ccne2;Mcm4;Espl1;Anapc10;Orc6
prerank,KEGG_2019_Mouse__Natural killer cell mediated cytotoxicity,0.6312161517570735,1.3216708932555878,5.088063e-02,1.000000e+00,9.990000e-01,44/113,14.62%,Klra4;Raet1e;Klra8;Klra7;Klra3;Klrb1c;Ncr1;Klrk1;Klrc2;Fcgr4;Klrd1;Gzmb;Klra1;Ulbp1;Sh2d1b1;Klra9;Klrc1;Prf1;Cd244a;Fasl;Itgal;Ifng;Lck;Cd247;Sh2d1a;H2-K1;Fcer1g;H2-D1;Casp3;Lat;Zap70;Rac2;Tyrobp;Ptpn6;Bid;H2-T23;Pik3cd;Sh3bp2;Hcst;Lcp2;Cd48;Ifngr1;Vav1;Syk
prerank,KEGG_2019_Mouse__Oocyte meiosis,0.624658053464509,1.3167718580277017,4.406130e-02,1.000000e+00,9.990000e-01,15/115,8.24%,Calm4;Mos;Spdye4a;Bub1;Ccnb1;Cdc25c;Ccne1;Plk1;Aurka;Sgo1;Ccnb2;Cdk1;Cdc20;Rps6ka6;Mad2l1
prerank,KEGG_2019_Mouse__Serotonergic synapse,0.6222883540615841,1.3113925840311529,3.740157e-02,1.000000e+00,1.000000e+00,13/131,7.43%,Gngt1;Pla2g4f;Htr3b;Cyp2d9;Pla2g4d;Cyp2c23;Cyp2c65;Htr1d;Pla2g4c;Tph2;Tph1;Slc18a2;Htr1a
prerank,KEGG_2019_Mouse__VEGF signaling pathway,0.6767689329492587,1.2998845677874638,8.695652e-02,1.000000e+00,1.000000e+00,4/58,6.19%,Pla2g4f;Pla2g4d;Pla2g4c;Sh2d2a
